R1:r,s,R2:r
R2:r,s,R3:r
R4:r,s,R5:r
R5:r,s,R6:r
R2:r,s,R5:r
SW1:sw,c,R1:r
SW4:sw,c,R2:r
SW7:sw,c,R3:r
SW10:sw,c,R4:r
SW13:sw,c,R5:r
SW16:sw,c,R6:r
SW1:sw,cs,SW2:sw
SW2:sw,cs,SW3:sw
PC1:pc,c,SW1:sw
PC2:pc,c,SW1:sw
PC3:pc,c,SW2:sw
PC4:pc,c,SW2:sw
PC5:pc,c,SW3:sw
PC6:pc,c,SW3:sw
SW4:sw,cs,SW5:sw
SW5:sw,cs,SW6:sw
PC7:pc,c,SW4:sw
PC8:pc,c,SW4:sw
PC9:pc,c,SW5:sw
PC10:pc,c,SW5:sw
PC11:pc,c,SW6:sw
PC12:pc,c,SW6:sw
SW7:sw,cs,SW8:sw
SW8:sw,cs,SW9:sw
PC13:pc,c,SW7:sw
PC14:pc,c,SW7:sw
PC15:pc,c,SW8:sw
PC16:pc,c,SW8:sw
PC17:pc,c,SW9:sw
PC18:pc,c,SW9:sw
SW10:sw,cs,SW11:sw
SW11:sw,cs,SW12:sw
PC23:pc,c,SW10:sw
PC24:pc,c,SW10:sw
PC21:pc,c,SW11:sw
PC22:pc,c,SW11:sw
PC19:pc,c,SW12:sw
PC20:pc,c,SW12:sw
SW13:sw,cs,SW14:sw
SW14:sw,cs,SW15:sw
PC29:pc,c,SW13:sw
PC30:pc,c,SW13:sw
PC27:pc,c,SW14:sw
PC28:pc,c,SW14:sw
PC25:pc,c,SW15:sw
PC26:pc,c,SW15:sw
SW16:sw,cs,SW17:sw
SW17:sw,cs,SW18:sw
PC35:pc,c,SW16:sw
PC36:pc,c,SW16:sw
PC33:pc,c,SW17:sw
PC34:pc,c,SW17:sw
PC31:pc,c,SW18:sw
PC32:pc,c,SW18:sw
