PC1,120.67.60.10,/20
PC2,120.67.50.10,/20
PC3,120.67.40.10,/20
PC4,120.67.35.10,/20
PC5,120.67.25.10,/20
PC6,120.67.20.10,/20
PC7,90.67.250.10,/19
PC8,90.67.240.10,/19
PC9,90.67.220.10,/19
PC10,90.67.210.10,/19
PC11,90.67.200.10,/19
PC12,90.67.190.10,/19
PC13,200.67.67.70,/26
PC14,200.67.67.80,/26
PC15,200.67.67.140,/26
PC16,200.67.67.150,/26
PC17,200.67.67.220,/26
PC18,200.67.67.230,/26
PC19,120.67.190.10,/20
PC20,120.67.210.10,/20
PC21,120.67.220.10,/20
PC22,120.67.230.10,/20
PC23,120.67.235.10,/20
PC24,120.67.180.10,/20
PC25,150.67.20.10,/20
PC26,150.67.40.10,/20
PC27,150.67.60.10,/20
PC28,150.67.80.10,/20
PC29,150.67.100.10,/20
PC30,150.67.120.10,/20
PC31,210.67.67.204,/29
PC32,210.67.67.203,/29
PC33,210.67.67.202,/29
PC34,210.67.67.164,/29
PC35,210.67.67.163,/29
PC36,210.67.67.162,/29
